 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 12-Ma | 14:46 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         103606   |          16156   |
| 19.0/(FRExt)| 18-Ma | 18:04 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         103114   |          16053   |
| 19.0/(FRExt)| 18-Ma | 18:06 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         100643   |          15803   |
| 19.0/(FRExt)| 18-Ma | 18:08 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102393   |          15787   |
| 19.0/(FRExt)| 18-Ma | 18:09 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         104246   |          16185   |
| 19.0/(FRExt)| 18-Ma | 18:11 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101514   |          15853   |
| 19.0/(FRExt)| 18-Ma | 18:13 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101550   |          15898   |
| 19.0/(FRExt)| 18-Ma | 18:15 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102175   |          15807   |
| 19.0/(FRExt)| 18-Ma | 18:16 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101116   |          15761   |
| 19.0/(FRExt)| 18-Ma | 18:18 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101391   |          15606   |
